STOP_NAME,STOP_CODE
ARSIKERE,10
BANAVARA,11
BASAV.BUS.S,2
BENGALURU,1
BHADRAVATHI,16
BIRUR,14
GUBBI,6
JHCROSS/DSH,3
KADUR,13
KB CROSS,8
MATHIGATTA,12
NELAMANGALA,4
NITTUR,7
SHIVAMOGGA,17
TARIKERE,15
TIPTUR,9
TUMAKURU,5
BANGALORE,1
BANGALURU,1
BANGLORE,1
K B CROSS,8
ARASIKERE,10
TUMKUR,5
JCROS/8MAIN,3
KANAKPURA,0
BWS QUTERS,0
HAROHALLI,0
KAGALIPURA,0
TALGHATPUR,0
KONANKUNT X,0
SHIVAMOGA,17
BADRAVATHI,16
NELMANGALA,4
ANANDNAGAR,1000
ANANTHAPURA,0
BAVALI,1234
BETAGALA,1234
BIDADI,1234
BILIKERE,1234
BWS QTRS,0
CHANNAPATNA,1234
DKHALLI,0
FOUTHMAIL,1234
GONIKOPPA,1234
HAADLI,0
HALAGOOR,0
HANUMANHALI,0
HAROHALLY,0
HATHUR,1234
HEGGODU,1000
HONGANHALLI,0
HUNUSUR,1234
JAIN SCHOOL,0
JAKKASANDRA,0
KAGALIPUR,0
KAIVADA,1234
KENGERI,1234
KONANKUNTE,0
KONANKUNTEX,0
KUMBLUGUDU,1234
KUMSI,1000
MADDUR,1234
MALAVALLI,0
MANDYA,1234
MARALAVADI,0
MCTC,1234
MUGALAKATTE,1000
MYSORE,1234
NAPOKLU,1234
PANCHAVALLI,1234
PARANI,1234
RAMNAGARA,1234
RICEMILL,0
SAATHNOOR,0
SAGAR,1000
SRIRANGPATN,1234
TALGHATPURA,0
THIRUPATHI,1000
THITHIMATHI,1234
TK HALLI,0
TUGANI,0
VERAJPETE,1234
VIDHANSAVDH,0
YEMMA MADU,1234
KANAKAPURA,0
TALAGATAPUR,0
RAMANAGARA,1234
BNG (CDG),1
BNG (DAY),1
BNG (NGT)MX,1
BNG (NIGHT),1
BNG DAY,1
BNG SRING,1
BNG VIA(CDG,1
BNG WKEND,1
BNG WKEND(D,1
BNG WKEND(N,1
BNG(CDG),1
BNG(DAY),1
BNG(DAY) MX,1
BNG(NIGHT),1
BNG(SRI),1
BNG(SRINGR),1
BNG(SRNGR),1
BNG-WE-NIGH,1
BNG.K.B.S,1
BHADRAVATH,16
BHADRAVATI,16
BHADRAVTHI,16
ARASEKERE,10
BAGLORE,1
BENGALURE,1
BENGALURU H,1
BANG(SRI),1
BANGALORE N,1
BENGALORE,1
BENGALUR(DA,1
BENGALUR HS,1
BENGALURUU,1
BANGALORE D,1
BANGALORE(W,1
BANAVAR,11
BASAV.BUS.,2
BASAVESHWAR,2
BEERUR,14
BERUR,14
BIRURU,14
BEROOR,14
J HALLI CRO,3
J HALLI CRS,3
JALAHALLI,3
JALAHALLIX,3
JALAHHAI CR,3
JALALLI X,3
JALHALLI CR,3
JCROSS,3
JHCROSS/DS,3
K.B CROSS,8
K.B. CROSS,8
K.B.CROSS,8
KB CRASS,8
KB CRSS,8
KBCROSS,8
KADOORU,13
KADURU,13
MATTIGATTA,12
MATTIGHATTA,12
NELAMANGAL,4
NELAMANGLA,4
NELEMANGLA,4
NELMANGALLA,4
NELMANGLA,4
NITTRUR,7
NITTURU,7
SHIMOGA,17
SHIMOGGA,17
SHIVAMOGG,17
SHIVMOGA,17
SHIVMOGGA,17
TAREKERE,15
TARIKER,15
THARIKERE,15
THIPTUR,9
TIPATOOR,9
TIPATOORU,9
TIPATUR,9
TIPATURU,9
TIPTURU,9
THUMAKUR,5
TUMAKAR,5
TUMAKOORU,5
TUMAKUR,5
TUMKAR,5
TUMKURA,5
TUMKURU,5
TUMUKURU,5
TMUKUR,5
N MANGALA,4
